Date,Open,High,Low,Close,Adj Close,Volume
17-03-2020,371721.5625,397345.5313,370185.75,386826.6875,386826.6875,2.85904E+12
18-03-2020,386936.5625,399461,376360.1563,392791.2188,392791.2188,2.84025E+12
19-03-2020,393314.4375,475737.875,390219.625,465331.3125,465331.3125,3.83323E+12
20-03-2020,465365.9375,514568.625,443687.7188,468767.7188,468767.7188,4.11712E+12
21-03-2020,469353.3125,482331.1563,448655.5313,467730.8125,467730.8125,3.21354E+12
22-03-2020,467767.9688,480936.8438,439904.5625,440398.625,440398.625,3.029E+12
23-03-2020,440483.2188,493379.8438,440036.4063,491303.625,491303.625,3.55993E+12
24-03-2020,492860.1563,516593.6563,488411.0625,511582.4375,511582.4375,3.66298E+12
25-03-2020,511879.6563,523761.9063,497116.9063,506731.9063,506731.9063,3.38198E+12
26-03-2020,506285,510282.125,496497.1875,501893.4063,501893.4063,2.63931E+12
27-03-2020,502113.7188,506582.3438,484200.75,484432.5938,484432.5938,2.58963E+12
28-03-2020,484242.125,484260.625,458079.2188,467390.5,467390.5,2.61207E+12
29-03-2020,467647.375,468010,446353.1563,446500.7188,446500.7188,2.13927E+12
30-03-2020,446764.25,491463.0313,445531.8438,484874.4063,484874.4063,2.79784E+12
31-03-2020,484932.0625,490440.4688,481058,485055.25,485055.25,2.46997E+12
01-04-2020,484955.4063,506430.5625,475039.7813,505986.5625,505986.5625,3.08997E+12
02-04-2020,505986.5625,540461,503136.6563,517483.9688,517483.9688,3.63041E+12
03-04-2020,517771.2813,534118.125,510159.7813,514565.4688,514565.4688,2.97858E+12
04-04-2020,514947.2188,525689.625,511745.3438,524816.4375,524816.4375,2.53607E+12
05-04-2020,524435.125,526030.5,513231.3125,517755.6875,517755.6875,2.24987E+12
06-04-2020,517520.9063,552472.875,517127.5,552472.875,552472.875,3.56299E+12
07-04-2020,552614.4375,560828,539678.3125,542859.875,542859.875,3.3468E+12
08-04-2020,543076.875,557804,541362.1875,557164.125,557164.125,2.85364E+12
09-04-2020,557457.9375,557722.5,547764.875,554308.9375,554308.9375,2.64285E+12
10-04-2020,554439.9375,554439.9375,517736.4375,522989.25,522989.25,3.32304E+12
11-04-2020,523137.5625,527603.75,517232.4063,522500.9375,522500.9375,2.37839E+12
12-04-2020,522423.625,542372.625,518844.0625,531033.3125,531033.3125,2.72404E+12
13-04-2020,530616.25,530616.25,508771.5313,521994.0313,521994.0313,2.94506E+12
14-04-2020,521860.125,528885.125,517808.0938,519791.875,519791.875,2.59123E+12
15-04-2020,520029.9375,526873,507432.75,508125.4063,508125.4063,2.47008E+12
16-04-2020,507998.7188,548413.8125,501604.9063,546993.3125,546993.3125,3.59573E+12
17-04-2020,546973.9375,548289.5,539879.0625,542858.125,542858.125,2.48728E+12
18-04-2020,542560.3125,556158.9375,542327.4375,555218.625,555218.625,2.48224E+12
19-04-2020,555467.8125,556967.1875,548286.8125,550494.25,550494.25,2.3975E+12
20-04-2020,550298.9375,554054.375,523975.4688,527109.1875,527109.1875,2.89116E+12
21-04-2020,526942.625,532105.5,525722.4375,529577.8125,529577.8125,2.50843E+12
22-04-2020,529509.8125,546419.25,528578.875,543825.8125,543825.8125,2.54057E+12
23-04-2020,544139,569225.8125,539298.8125,564617.4375,564617.4375,3.30582E+12
24-04-2020,564956.1875,578047.5,564956.1875,576269.6875,576269.6875,2.64339E+12
25-04-2020,576237.75,583173.625,573918.625,577601.25,577601.25,2.51351E+12
26-04-2020,577616.75,587412.875,576950.5625,585831.8125,585831.8125,2.52264E+12
27-04-2020,585797.625,593921.875,585797.625,593921.875,593921.875,2.75508E+12
28-04-2020,594026.25,594383.875,588210.75,593896.1875,593896.1875,2.52466E+12
29-04-2020,593869.875,667758.25,591778.6875,662441.8125,662441.8125,4.53125E+12
30-04-2020,662188.3125,707954.4375,643129.3125,652947.5625,652947.5625,5.04985E+12
01-05-2020,654020.5,684844.9375,653642,672472.375,672472.375,3.34298E+12
02-05-2020,672797.8125,683024.0625,664460.75,681614.25,681614.25,3.04343E+12
03-05-2020,681236.4375,691337.8125,667630.25,672054.6875,672054.6875,3.55775E+12
04-05-2020,671924.5,677503.125,654676.875,674153.1875,674153.1875,3.45817E+12
05-05-2020,674166.5625,684506.8125,670900.3125,683718.375,683718.375,3.27682E+12
06-05-2020,684050.3125,717596.6875,680948.6875,706511.875,706511.875,3.76337E+12
07-05-2020,705988.4375,756565.5625,695609.125,753450.375,753450.375,4.62697E+12
08-05-2020,752287.75,757394.25,738056.4375,742885.0625,742885.0625,3.9082E+12
09-05-2020,742752.25,748843.625,723377,724377.5625,724377.5625,3.51593E+12
10-05-2020,724171.625,724504.75,634124.4375,661405.1875,661405.1875,4.78319E+12
11-05-2020,661337.5,685381.1875,636116.9375,653199.75,653199.75,4.33754E+12
12-05-2020,653852.0625,672719.0625,650758.1875,663584.6875,663584.6875,3.17625E+12
13-05-2020,663653.25,702900.625,663653.25,699292.625,699292.625,3.43673E+12
14-05-2020,699393.8125,739127.375,698492.375,734847.1875,734847.1875,4.25995E+12
15-05-2020,734890.125,736516.125,702727.125,707795.625,707795.625,3.65415E+12
16-05-2020,708178.25,725703.1875,702673.6875,711499.6875,711499.6875,2.74407E+12
17-05-2020,711341.5625,745339.9375,709415.5,733332.25,733332.25,3.03959E+12
18-05-2020,733708.0625,751174.4375,727210.4375,735426.3125,735426.3125,3.16255E+12
19-05-2020,735463.25,744117.625,721839.4375,736585.4375,736585.4375,2.97194E+12
20-05-2020,736304.6875,742369.875,713875.875,719366,719366,2.7607E+12
21-05-2020,719347.8125,721803,670624.375,686917.1875,686917.1875,2.97451E+12
22-05-2020,686809.25,701472.3125,683291.75,697830.8125,697830.8125,2.26547E+12
23-05-2020,698019.6875,706944.5,692931.5625,699860.6875,699860.6875,2.10718E+12
24-05-2020,700088.3125,705873.125,667787.1875,668024.0625,668024.0625,2.47127E+12
25-05-2020,667700.25,679157.5625,661574.3125,675890.25,675890.25,2.37426E+12
26-05-2020,676091.4375,680399.8125,661631.0625,666958.125,666958.125,2.23331E+12
27-05-2020,667133.9375,698497.9375,666890.5625,696799.8125,696799.8125,2.48487E+12
28-05-2020,697097.8125,722656.25,692675.375,721099.1875,721099.1875,2.60159E+12
29-05-2020,721296.375,724728.5,709007.6875,712872.875,712872.875,2.48446E+12
30-05-2020,712857,732879.4375,707405.375,732606.3125,732606.3125,2.47134E+12
31-05-2020,732583,732601,712357.25,714529.4375,714529.4375,2.09753E+12
01-06-2020,714721.75,770001.875,713482.375,767767,767767,2.658E+12
02-06-2020,767442.6875,763553.9375,709429.875,715364.75,715364.75,2.93788E+12
03-06-2020,715661.75,729389.9375,712922.25,727420.75,727420.75,1.88376E+12
04-06-2020,727355.75,745624.75,719737.1875,739536.4375,739536.4375,1.95601E+12
05-06-2020,739504.6875,745899.25,730684.625,730371.125,730371.125,1.77649E+12
06-06-2020,730323.6875,738524.5,724741,729475.4375,729475.4375,1.54442E+12
07-06-2020,729424.375,738194.1875,714700.4375,736968.5,736968.5,1.8891E+12
08-06-2020,737059.9375,738466.4375,730342.125,736812.8125,736812.8125,1.62016E+12
09-06-2020,737029.25,741707.875,730532.0625,739674.75,739674.75,1.79094E+12
10-06-2020,739555.375,749608.5,735070.0625,746965.1875,746965.1875,1.94546E+12
11-06-2020,746964,751236.4375,705290.5625,708222.8125,708222.8125,2.29803E+12
12-06-2020,708139.9375,724027.375,705493,720136.4375,720136.4375,1.71743E+12
13-06-2020,720128.25,721075.875,713692.6875,719713.625,719713.625,1.33413E+12
14-06-2020,719886.5625,720244.875,710019.25,712992.6875,712992.6875,1.44256E+12
15-06-2020,712935.5625,721046.75,684210.75,718047.8125,718047.8125,2.0286E+12
16-06-2020,718318.625,726470.375,714233.125,728741.8125,728741.8125,1.64769E+12
17-06-2020,728417.8125,728927,711676,724133.625,724133.625,1.54124E+12
18-06-2020,724233.8125,724326.625,712640,719070.6875,719070.6875,1.35765E+12
19-06-2020,718952.5625,718565.4375,707185.9375,708232.3125,708232.3125,1.497E+12
20-06-2020,708456.625,716387.75,705133.5,711612,711612,1.30624E+12
21-06-2020,711504.125,716855.625,709179.6875,709423.625,709423.625,1.16851E+12
22-06-2020,709216.6875,731543.6875,708956.6875,731276.8125,731276.8125,1.59947E+12
23-06-2020,730925,730299.75,723541.9375,728123,728123,1.2859E+12
24-06-2020,728311.375,732440.75,702283.5,705452.875,705452.875,1.43624E+12
25-06-2020,705492,705446.875,689129.875,699862.625,699862.625,1.40625E+12
26-06-2020,699574.1875,705131.9375,688660.8125,692973.125,692973.125,1.38713E+12
